,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
359,Jakarta Timur,KRAMAT JATI,CILILITAN,"06, 07",2.0,0.0,0.0,0,50 - 100 cm,tgl. 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,Jakarta Timur,MAKASAR,CIPINANG MELAYU,"03, 04",2.0,9.0,0.0,0,10 cm,tgl. 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,Jakarta Barat,KEC. KALIDERES,KAMAL,01,1.0,2.0,0.0,0,20 cm,tgl. 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,Jakarta Selatan,KEC. PASAR MINGGU,JATI PADANG,"02, 04, 05, 06, 09",5.0,10.0,0.0,0,10 s/d 40 cm,tgl. 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,Jakarta Selatan,KEC. PASAR MINGGU,RAGUNAN,"07, 08",2.0,2.0,0.0,0,10 s/d 30 cm,tgl. 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,Jakarta Selatan,KEC. PASAR MINGGU,CILANDAK TIMUR,"01, 03, 04, 09, 13",5.0,4.0,7.0,20,10 s/d 120 cm,"tgl. 03, 20",0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0
365,Jakarta Selatan,KEC. PASAR MINGGU,PEJATEN TIMUR,"05, 06, 07, 08",4.0,5.0,0.0,0,10 s/d 50 cm,tgl. 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,Jakarta Selatan,KEC. MAMPANG PRAPATAN,BANGKA,"01, 02, 03, 04",4.0,7.0,20.0,60,100 s/d 150 cm,tgl. 03,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0
367,Jakarta Selatan,KEC. PANCORAN,DUREN TIGA,"01, 02, 05",3.0,4.0,0.0,0,10 s/d 60 cm,tgl. 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,Jakarta Selatan,KEC. PANCORAN,RAWAJATI,07,1.0,3.0,0.0,0,30 s/d 60 cm,tgl. 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,Jakarta Selatan,KEC. PANCORAN,PENGADEGAN,01,1.0,1.0,0.0,0,10 s/d 50 cm,tgl. 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370,Jakarta Selatan,KEC. CILANDAK,PONDOK LABU,"01, 02, 03, 07",4.0,4.0,0.0,0,10 s/d 80 cm,tgl. 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,Jakarta Selatan,KEC. CILANDAK,CIPETE SELATAN,"01, 07",2.0,2.0,0.0,0,20 s/d 40 cm,tgl. 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,Jakarta Selatan,KEC. KEBAYORAN BARU,PETOGOGAN,02,1.0,4.0,0.0,0,40 cm,tgl. 03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,Jakarta Selatan,KEC. TEBET,KEBON BARU,01,1.0,1.0,0.0,0,10 s/d 20 cm,tgl. 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,Jakarta Timur,KEC. JATINEGARA,KAMPUNG MELAYU,"04, 05, 07, 08",4.0,25.0,187.0,636,10 s/d 100 cm,"tgl. 20, 21",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,Jakarta Timur,KEC. JATINEGARA,BIDARA CINA,"07, 11",2.0,5.0,0.0,0,70 s/d 110 cm,tgl. 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
376,Jakarta Timur,KEC. KRAMAT JATI,CAWANG,"01, 02, 03, 05, 08",5.0,19.0,0.0,0,10 s/d 70 cm,"tgl. 20, 21",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,Jakarta Timur,KEC. KRAMAT JATI,CILILITAN,"06, 07",2.0,3.0,0.0,0,10 s/d 30 cm,tgl. 21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
378,Jakarta Utara,KEC. PENJARINGAN,PLUIT,22,1.0,1.0,0.0,0,2 s/d 15 cm,"tgl. 26, 29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,Jakarta Utara,KEC. PENJARINGAN,KAMAL MUARA,4,1.0,5.0,0.0,0,5 s/d 10 cm,"tgl. 26, 27",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,Jakarta Barat,KEC. KALIDERES,KAMAL,1,1.0,2.0,0.0,0,5 s/d 30 cm,"tgl. 27, 28, 29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,Jakarta Selatan,KEC. KEBAYORAN LAMA,PONDOK PINANG,5,1.0,4.0,0.0,0,10 s/d 20 cm,tgl. 09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,Jakarta Selatan,KEC. PASAR MINGGU,PEJATEN TIMUR,"05, 06, 08",3.0,3.0,0.0,0,10 s/d 30 cm,tgl. 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,Jakarta Selatan,KEC. PASAR MINGGU,CILANDAK TIMUR,"03, 09",2.0,2.0,0.0,0,10 s/d 30 cm,tgl. 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,Jakarta Selatan,KEC. CILANDAK,GANDARIA SELATAN,"05, 07",2.0,4.0,0.0,0,60 s/d 70 cm,tgl. 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,Jakarta Selatan,KEC. PESANGGRAHAN,ULUJAMI,1,1.0,1.0,825.0,4000,40 s/d 70 cm,tgl. 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,Jakarta Timur,KEC. MAKASAR,CIPINANG MELAYU,"03, 04",2.0,10.0,560.0,1858,30 s/d 50 cm,tgl. 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,Jakarta Timur,KEC. JATINEGARA,CIPINANG MUARA,13,1.0,3.0,60.0,240,60 s/d 80 cm,tgl. 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,Jakarta Timur,KEC. JATINEGARA,KAMPUNG MELAYU,"04, 05, 07, 08",4.0,25.0,235.0,789,10 s/d 100 cm,tgl. 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,Jakarta Timur,KEC. JATINEGARA,BIDARA CINA,"07, 11",2.0,5.0,168.0,710,20 s/d 60 cm,tgl. 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,Jakarta Timur,KEC. CIRACAS,RAMBUTAN,5,1.0,1.0,0.0,0,10 s/d 30 cm,tgl. 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,Jakarta Timur,KEC. KRAMAT JATI,CAWANG,"02, 03, 05, 08",4.0,2.0,0.0,0,10 s/d 50 cm,tgl. 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,Jakarta Timur,KEC. CAKUNG,JATINEGARA,8,1.0,1.0,0.0,0,10 s/d 15 cm,tgl. 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,Jakarta Timur,KEC. CAKUNG,RAWA TERATE,5,1.0,1.0,0.0,0,5 s/d 20 cm,tgl. 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,Jakarta Pusat,KEC. SAWAH BESAR,GUNUNG SAHARI UTARA,1,1.0,3.0,0.0,0,10 s/d 40 cm,tgl. 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,Jakarta Barat,KEC. CENGKARENG,RAWA BUAYA,"03, 11",2.0,3.0,0.0,0,20 S/D 30,tgl. 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,Jakarta Timur,KEC. JATINEGARA,KAMPUNG MELAYU,"04, 05",4.0,21.0,212.0,711,30 s/d 80 cm,"tgl. 23, 29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,Jakarta Timur,KEC. JATINEGARA,BIDARA CINA,"07, 11",2.0,4.0,175.0,290,50 s/d 60 cm,tgl. 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,Jakarta Timur,KEC. KRAMAT JATI,CAWANG,"01, 02, 03, 05",4.0,8.0,0.0,0,10 s/d 50 cm,tgl. 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,Jakarta Utara,KEC. PENJARINGAN,KAMAL MUARA,4,1.0,1.0,0.0,0,3 s/d 10 cm,"tgl. 20, 22",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,Jakarta Barat,KEC. CENGKARENG,CENGKARENG BARAT,"09, 10, 14",3.0,17.0,0.0,0,30 s/d 50 cm,tgl. 02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,Jakarta Barat,KEC. CENGKARENG,RAWA BUAYA,"02, 04",2.0,5.0,0.0,0,20 s/d 80 cm,tgl. 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,Jakarta Barat,KEC. KEBON JERUK,KEDOYA SELATAN,5,1.0,7.0,0.0,0,10 s/d 30 cm,"tgl. 08, 27",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,Jakarta Barat,KEC. KEMBANGAN,KEMBANGAN UTARA,"01, 04",2.0,2.0,44.0,138,40 s/d 110 cm,tgl. 27,0.0,0.0,0.0,0.0,209.0,1.0,0.0,0.0
404,Jakarta Barat,KEC. KEMBANGAN,KEMBANGAN SELATAN,9,1.0,1.0,0.0,0,20 cm,tgl. 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,Jakarta Selatan,KEC. KEBAYORAN BARU,PETOGOGAN,"02, 03",2.0,19.0,0.0,0,10 s/d 40 cm,"tgl. 02, 27",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,Jakarta Selatan,KEC. KEBAYORAN BARU,CIPETE UTARA,6,1.0,3.0,0.0,0,30 s/d 90 cm,tgl. 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,Jakarta Selatan,KEC. PASAR MINGGU,JATI PADANG,"02, 03, 04, 05, 06",5.0,1.0,0.0,0,20 s/d 50 cm,"tgl. 02, 16, 30",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,Jakarta Selatan,KEC. PASAR MINGGU,PEJATEN TIMUR,"05, 06, 07, 08",4.0,7.0,380.0,875,100 s/d 220 cm,"tgl. 24, 26, 27",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,Jakarta Selatan,KEC. PANCORAN,PENGADEGAN,"01, 02, 11",3.0,4.0,167.0,639,10 s/d 250 cm,"tgl. 24, 26, 27",0.0,0.0,0.0,0.0,539.0,3.0,0.0,0.0
410,Jakarta Selatan,KEC. PANCORAN,RAWAJATI,"01, 03, 07",3.0,7.0,0.0,0,30 s/d 100 cm ,tgl. 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,Jakarta Selatan,KEC. PANCORAN,CIKOKO,1,1.0,1.0,0.0,0,20 s/d 30 cm,tgl. 26 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,Jakarta Selatan,KEC. TEBET,KEBON BARU,10,1.0,3.0,0.0,7,10 s/d 50 cm,"tgl. 24, 26",1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
413,Jakarta Selatan,KEC. TEBET,MANGGARAI,1,1.0,2.0,0.0,0,50 s/d 100,tgl.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,Jakarta Selatan,KEC. JAGAKARSA,LENTENG AGUNG,7,1.0,1.0,0.0,0,30 s/d 50 cm,tgl. 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,Jakarta Selatan,KEC. JAGAKARSA,SRENGSENG SAWAH,1,1.0,2.0,0.0,0,30 cm,tgl. 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,Jakarta Selatan,KEC. JAGAKARSA,JAGAKARSA,2,1.0,1.0,0.0,0,10 s/d 20 cm,tgl. 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,Jakarta Selatan,KEC. MAMPANG PRAPATAN,BANGKA,2,1.0,1.0,0.0,0,35 s/d 70 cm,tgl. 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,Jakarta Selatan,KEC. KEBAYORAN LAMA,PONDOK PINANG,"05, 08",2.0,4.0,0.0,0,10 s/d 60 cm,"tgl. 27, 30 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,Jakarta Selatan,KEC. KEBAYORAN LAMA,CIPULIR,10,1.0,1.0,0.0,0,10 s/d 20 cm,tgl. 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,Jakarta Selatan,KEC. CILANDAK,PONDOK LABU,3,1.0,2.0,0.0,0,10 s/d 50 cm,tgl. 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,Jakarta Timur,KEC. MAKASAR,CIPINANG MELAYU,"02, 03, 04",3.0,11.0,0.0,0,20 s/d 60 cm,"tgl. 02, 13, 30",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,Jakarta Timur,KEC. MAKASAR,KEBON PALA,"01, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",11.0,51.0,0.0,0,10 s/d 50 cm,"tgl. 02, 30",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,Jakarta Timur,KEC. MAKASAR,MAKASAR,"04, 05, 07",3.0,13.0,0.0,0,10 s/d 100 cm,tgl. 30,0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0
424,Jakarta Timur,KEC. JATINEGARA,KAMPUNG MELAYU,"04, 05, 06, 07, 08",5.0,30.0,738.0,2312,10 s/d 250 cm,"tgl. 05, 24, 26, 30",0.0,0.0,0.0,0.0,1137.0,5.0,0.0,0.0
425,Jakarta Timur,KEC. JATINEGARA,BIDARA CINA,"04, 05, 06, 07, 11, 12, 14, 15, 16",9.0,34.0,1127.0,3496,20 s/d 220 cm,"tgl. 24, 26",1.0,0.0,0.0,0.0,390.0,4.0,0.0,0.0
426,Jakarta Timur,KEC. KRAMAT JATI,CAWANG,"01, 02, 03, 05, 06, 08, 12",7.0,20.0,459.0,1384,10 s/d 150 cm,"tgl. 24, 26, 30",0.0,0.0,0.0,0.0,1084.0,4.0,0.0,0.0
427,Jakarta Timur,KEC. KRAMAT JATI,BALEKAMBANG,"01, 02, 04, 05",4.0,8.0,0.0,0,30 s/d 70 cm,"tgl. 24, 26",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,Jakarta Timur,KEC. KRAMAT JATI,CILILITAN,"05, 06, 07, 15, 16",5.0,16.0,0.0,0,20 s/d 170 cm,"tgl. 24, 26",0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0
429,Jakarta Timur,KEC. MATRAMAN,KEBON MANGGIS,4,1.0,3.0,0.0,0,10 s/d 20 cm,tgl. 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,Jakarta Timur,KEC. CIRACAS,CIBUBUR,"03, 10, 12",3.0,10.0,0.0,0,10 s/d 20 cm,tgl. 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,Jakarta Timur,KEC. CIRACAS,APA DUA WETAN,2,1.0,2.0,0.0,0,10 s/d 30 cm,tgl. 28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,Jakarta Timur,KEC. CIRACAS,RAMBUTAN,"02, 03, 05",3.0,7.0,0.0,0,20 s/d 40 cm,tgl. 30,0.0,0.0,0.0,0.0,150.0,3.0,0.0,0.0
433,Jakarta Barat,KEC. CENGKARENG,RAWA BUAYA,11,1.0,1.0,0.0,0,15  cm,tgl. 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,Jakarta Barat,KEC. KEBON JERUK,SUKABUMI SELATAN,"01, 02, 04, 05, 07, 08",6.0,6.0,0.0,0,20-100 cm,tgl. 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,Jakarta Barat,KEC. PALMERAH,KOTA BAMBU UTARA,6,1.0,1.0,0.0,0,20-30 cm ,tgl. 17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,Jakarta Barat,KEC. PALMERAH,PALMERAH,5,1.0,1.0,0.0,0,40cm ,tgl. 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,Jakarta Barat,KEC. KALI DERES,TEGAL ALUR,"01, 08, 03",3.0,7.0,210.0,1264,30-70 cm ,tgl. 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,Jakarta Barat,KEC. KALI DERES,KAMAL,6,1.0,1.0,0.0,0,30 cm ,tgl. 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,Jakarta Selatan,KEC. PASAR MINGGU,JATI PADANG,"04, 06, 03, 02, 010",5.0,8.0,0.0,0,20 s/d 60  cm,"tgl. 23, 27",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,Jakarta Selatan,KEC. KEBAYORAN LAMA,PONDOK PINANG,"05, 08",2.0,8.0,0.0,0,25 s/d 75 cm ,"tgl. 26, 27",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,Jakarta Selatan,KEC. KEBAYORAN LAMA,CIPULIR,10,1.0,1.0,0.0,0,25 s/d 40 cm,"tgl. 26, 27",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,Jakarta Selatan,KEC. KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,4,1.0,1.0,0.0,0,50 cm ,tgl 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,Jakarta Selatan,KEC. CILANDAK,CILANDAK BARAT,2,1.0,1.0,0.0,0,60 cm,"tgl 27, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,Jakarta Selatan,KEC. CILANDAK,PONDOK LABU,"01, 03, 07, 010",4.0,10.0,0.0,0,30 s/d 70 cm,"tgl 27, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,Jakarta Selatan,KEC. KEBAYORAN BARU,CIPETE UTARA,"06, 010",2.0,4.0,0.0,0,20 s/d 75 cm ,"tgl 27, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,Jakarta Selatan,KEC. KEBAYORAN BARU,PETOGOGAN,3,1.0,1.0,0.0,0,45 cm ,"tgl 27, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,Jakarta Selatan,KEC. KEBAYORAN BARU,GUNUNG,1,1.0,6.0,0.0,0,50 s/d 80 cm ,"tgl 27, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,Jakarta Timur,KEC. MAKASAR,KEBON PALA,"06, 04, 05",3.0,3.0,0.0,0,30 s/d 50 cm ,"tgl. 23, 27",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,Jakarta Timur,KEC. KRAMAT JATI,BATU AMPAR,4,1.0,1.0,0.0,0,40 cm ,"tgl 27, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,Jakarta Timur,KEC. KRAMAT JATI,CAWANG,3,1.0,2.0,0.0,0,50 cm ,"tgl 27, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,Jakarta Timur,KEC. JATINEGARA,KAMPUNG MELAYU,"04, 05, 07, 08, ",4.0,25.0,106.0,337,20  s/d 40 cm ,"tgl 27, 31",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,Jakarta Timur,KEC. JATINEGARA,BIDARA CINA,7,1.0,10.0,0.0,0,20 s/d 50 cm,"tgl 27, ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,Jakarta Utara,KEC. PENJARINGAN,KAMAL MUARA,"01, 04",2.0,2.0,0.0,0,5 cm,"tgl. 01, 02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,Jakarta Barat,KEC. KEMBANGAN,KEMBANGAN UTARA,1,1.0,1.0,0.0,0,50 s/d 60 cm,"tgl. 01, 02",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,Jakarta Barat,KEC. KALIDERES,KAMAL,1,1.0,3.0,0.0,0,5 cm,"tgl. 01, 03",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,Jakarta Selatan,KEC. KEBAYORAN LAMA,GROGOL SELATAN,6,1.0,1.0,0.0,0,10 s/d 50 cm,"tgl. 11, 12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,Jakarta Selatan,KEC. KEBAYORAN LAMA,CIPULIR,"08,10",2.0,3.0,0.0,0,40 cm,"tgl. 16,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,Jakarta Selatan,"KEC, PASAR MINGGU",PEJATEN TIMUR,"05, 06, 07, 08",4.0,5.0,86.0,171,40 s/d 80 cm,"tgl 16,26",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,Jakarta Selatan,"KEC, PASAR MINGGU",CILANDAK TIMUR,3,1.0,2.0,0.0,0,60 cm,"tgl. 19,20",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,Jakarta Selatan,KEC. PANCORAN,PENGEDEGAN,1,1.0,1.0,4.0,12,80 cm,"tgl 16,26",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,Jakarta Selatan,KEC. PANCORAN,RAWAJATI,"07, 04",2.0,6.0,0.0,0,20 s/d 70 cm,"tgl 16,26",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,Jakarta Selatan,KEC. PANCORAN,DUREN TIGA,5,1.0,4.0,0.0,0,40 s/d 70 cm,"tgl. 16,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
463,Jakarta Selatan,KEC. PANCORAN,KALIBATA,9,1.0,1.0,0.0,0,30 s/d 40 cm,"tgl. 16,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,Jakarta Selatan,KEC. TEBET,KEBON BARU,10,1.0,1.0,0.0,0,5 s/d 10 cm,tgl 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,Jakarta Selatan,KEC. TEBET,MANGGARAI,1,1.0,2.0,0.0,0,15 cm,tgl. 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
466,Jakarta Selatan,KEC. KEBAYORAN BARU,PETOGOGAN,"02,03",2.0,27.0,0.0,0,30 s/d 50 cm,"tgl. 16,17,19,20",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,Jakarta Selatan,KEC. MAMPANG,KUNINGAN BARAT,3,1.0,6.0,0.0,0,20 s/d 40 cm,"tgl. 16,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,Jakarta Selatan,KEC. JAGAKARSA,CIPEDAK,4,1.0,2.0,0.0,0,50 s/d 70 cm,tgl. 19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,Jakarta Selatan,KEC. CILANDAK,CILANDAK BARAT,2,1.0,1.0,0.0,0,40 s/d 50 cm,"tgl. 19,20",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,Jakarta Timur,KEC. MAKASAR,CIPINANG MELAYU,"03, 04",2.0,13.0,0.0,0,40 s/d 60 cm,"tgl. 11, 12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,Jakarta Timur,KEC. PASAR REBO,PEKAYON,"04, 07",2.0,5.0,0.0,0,20 s/d 60 cm,"tgl. 11, 12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,Jakarta Timur,KEC. JATINEGARA,CIPINANG MUARA,13,1.0,3.0,0.0,0,20 s/d 40 cm,"tgl. 11, 12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,Jakarta Timur,KEC. JATINEGARA,KAMPUNG MELAYU,"04, 05, 07, 08",4.0,26.0,308.0,1003,10 s/d 100 cm,"tgl. 16,26",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,Jakarta Timur,KEC. JATINEGARA,BIDARA CINA,"07, 11",2.0,12.0,0.0,0,40 s/d 135,"tgl. 16,17",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,Jakarta Timur,KEC.KRAMAT JATI,BALEKAMBANG,5,1.0,3.0,0.0,0,15 s/d 120 cm,tgl 16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,Jakarta Timur,KEC.KRAMAT JATI,CAWANG,"01, 02, 03, 05, 08",5.0,14.0,0.0,0,20 s/d 80 cm,"tgl. 16,26",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,Jakarta Timur,KEC.KRAMAT JATI,CILILITAN,"06, 07",2.0,5.0,0.0,0,20 s/d 90 cm,"tgl. 16,26",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,Jakarta Utara,KEC. PENJARINGAN,KAMAL MUARA,"01, 02, 03, 04",4.0,5.0,0.0,0,3 s/d 20 cm,"tgl. 7, 9, 10, 18, 19, 20, 21, 22, 30",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,Jakarta Utara,KEC. PENJARINGAN,PLUIT,"01, 02, 07, 022",4.0,6.0,0.0,0,3 s/d 40 cm,"tgl. 20, 21, 25, 30",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
480,Jakarta Utara,KEC. PENJARINGAN,PEJAGALAN,15,1.0,1.0,0.0,0,10 s/d 15 cm,tgl. 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,Jakarta Utara,KEC. PENJARINGAN,PENJARINGAN,"010, 017",2.0,2.0,0.0,0,5 s/d 10 cm,tgl. 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,Jakarta Utara,KEC. CILINCING,ROROTAN,5,1.0,1.0,0.0,0,10 s/d 20 cm,tgl. 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,Jakarta Utara,KEC. CILINCING,SUKAPURA,12,1.0,1.0,0.0,0,10 s/d 20 cm,tgl. 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,Jakarta Utara,KEC. CILINCING,CILINCING,"06, 09",2.0,3.0,0.0,0,10 s/d 20 cm,tgl. 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,Jakarta Utara,KEC. CILINCING,SEMPER TIMUR,"02, 03, 10, 11",4.0,11.0,0.0,0,5 s/d 30 cm,tgl. 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,Jakarta Utara,KEC. CILINCING,MARUNDA,"02, 07",2.0,4.0,0.0,0,10 s/d 20 cm,tgl. 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,Jakarta Utara,KEC. KELAPA GADING,PEGANGSAAN DUA,3,1.0,1.0,0.0,0,10 s/d 30 cm,tgl. 30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,Jakarta Utara,KEC. KELAPA GADING,APA GADING BARAT,"015, 016, 20",3.0,3.0,0.0,0,10 s/d 20 cm,tgl.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,Jakarta Utara,KEC. KOJA,TUGU SELATAN,4,1.0,3.0,0.0,0,10 s/d 30 cm,tgl.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
