,kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,ketinggian_air,tanggal_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
1035,Jakarta Selatan,MAMPANG PRAPATAN,KUNINGAN BARAT,rw 05,1.0,3.0,0,0,40 cm,16 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1036,Jakarta Selatan,JAGAKARSA,CIPEDAK,rw 04,1.0,1.0,0,0,70 cm,16 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1037,Jakarta Selatan,SETIABUDI,MENTENG ATAS,"rw 07, 08, 09, 14, 15",5.0,5.0,0,0,10 s/d 60 cm,20 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1038,Jakarta Timur,JATINEGARA,CIPINANG MUARA,rw 13,1.0,2.0,118,456,5 s/d 50 cm,"1, 2, 16 maret ",0.0,0.0,0.0,0.0,65.0,1.0,0.0,0.0
1039,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,"rw 04, 05, 07, 08",4.0,25.0,326,1068,25 s/d 110 cm,"1, 2, 16, 18, 23, 25, 26, 27, 28, 30 maret ",0.0,0.0,0.0,0.0,186.0,3.0,0.0,0.0
1040,Jakarta Timur,JATINEGARA,BIDARA CINA,"rw 05, 06, 07, 10, 11",5.0,12.0,1711,4838,20 s/d 140 cm,"1, 2, 16, 18, 25, 26, 27, 30 maret ",0.0,0.0,0.0,0.0,26.0,3.0,0.0,0.0
1041,Jakarta Timur,KRAMAT JATI,CAWANG,"rw 01, 02, 03, 05, 08, 12",6.0,15.0,0,0,10 s/d 115 cm,"1, 2, 16, 23, 25, 26, 27, 28, 30 maret",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1042,Jakarta Timur,KRAMAT JATI,CILILITAN,"rw 06, 07",2.0,6.0,10,43,5 s/d 100 cm,"1, 16, 25, 28 maret",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1043,Jakarta Timur,KRAMAT JATI,TENGAH,rw 05,1.0,1.0,0,0,70 cm,16 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1044,Jakarta Timur,CIPAYUNG,LUBANG BUAYA,rw 12,1.0,1.0,0,0,20 cm,1 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1045,Jakarta Timur,CIPAYUNG,PONDOK RANGGON,rw 01,1.0,1.0,4,10,20 s/d 80 cm,1 maret,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0
1046,Jakarta Timur,CIPAYUNG,CILANGKAP,"rw 03, 04, 05, 06",4.0,5.0,0,0,10 s/d 40 cm,16 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1047,Jakarta Timur,CAKUNG,CAKUNG TIMUR,"rw 01, 05, 06, 09, 10, 12",6.0,13.0,114,207,10 s/d 60 cm,"1, 2 maret",0.0,0.0,0.0,0.0,39.0,2.0,0.0,0.0
1048,Jakarta Timur,CIRACAS,CIBUBUR,rw 03,1.0,2.0,40,100,20 s/d 100 cm,1 maret,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0
1049,Jakarta Timur,CIRACAS,CIRACAS,rw 03,1.0,1.0,0,0,30 s/d 40 cm,2 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,Jakarta Timur,PASAR REBO,PEKAYON,rw 07,1.0,1.0,0,0,20 s/d 100 cm,1 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1051,Jakarta Timur,PASAR REBO,KALISARI,rw 10,1.0,1.0,0,0,70 cm,16 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1052,Jakarta Timur,MAKASAR,CIPINANG MELAYU,"rw 03, 04",2.0,11.0,364,1598,10 s/d 100 cm,"1, 16 maret",0.0,0.0,0.0,0.0,96.0,2.0,0.0,0.0
1053,Jakarta Timur,MAKASAR,PINANG RANTI,rw 04,1.0,2.0,0,0,10 s/d 15 cm,16 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1054,Jakarta Timur,MAKASAR,MAKASAR,"rw 05, 07",2.0,5.0,200,850,10 s/d 20 cm,16 maret,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0
1055,Jakarta Timur,DUREN SAWIT,PONDOK BAMBU,rw 04,1.0,2.0,0,0,20 s/d 30 cm,2 maret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1056,Jakarta Barat,KEMBANGAN,KEMBANGAN SELATAN,RW 09,1.0,1.0,0,0,20 s/d 30 cm,tgl. 21 MEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1057,Jakarta Barat,KEMBANGAN,MERUYA UTARA,RW 06,1.0,1.0,0,0,10 cm,tgl. 08 MEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058,Jakarta Selatan,JAGAKARSA,CIGANJUR,"RW 05, 06",2.0,2.0,0,0,30 s/d 40 cm,tgl. 06 MEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1059,Jakarta Selatan,KEBAYORAN LAMA,PONDOK PINANG,"RW 05, 08",2.0,8.0,25,77,20 s/d 100 cm,"tgl. 19, 21 MEI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1060,Jakarta Selatan,PANCORAN,PENGADEGAN,RW 01,1.0,1.0,0,0,10 s/d 100 cm,"tgl. 19, 21 MEI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1061,Jakarta Selatan,PANCORAN,RAWAJATI,RW 07,1.0,2.0,0,0,20 s/d 60 cm,"tgl. 18, 19, 21 MEI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1062,Jakarta Selatan,PASAR MINGGU,JATI PADANG,RW 06,1.0,3.0,0,0,20 s/d 50 cm,"tgl. 06, 10 MEI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1063,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,"RW 03, 05, 06, 07, 08, 09",6.0,7.0,141,456,50 cm s/d 150 cm,"tgl. 10, 18, 19, 21 MEI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1064,Jakarta Selatan,TEBET,KEBON BARU,RW 10,1.0,1.0,0,0,15 cm s/d 65 cm,"tgl. 18, 19, 21 MEI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1065,Jakarta Selatan,TEBET,MANGGARAI,RW 01,1.0,2.0,0,0,50 cm,tgl. 19 MEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066,Jakarta Timur,CIPAYUNG,CILANGKAP,"RW 02, 06",2.0,3.0,0,0,50 cm,tgl. 29 MEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1067,Jakarta Timur,CIRACAS,CIBUBUR,"RW 03, 10",2.0,7.0,0,0,50 cm,tgl. 06 MEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1068,Jakarta Timur,CIRACAS,CIRACAS,"RW 04, 05",2.0,3.0,0,0,50 cm,tgl. 06 MEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069,Jakarta Timur,CIRACAS,RAMBUTAN,"RW 02, 03",2.0,3.0,0,0,30 s/d 50 cm,"tgl. 10, 18 MEI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070,Jakarta Timur,JATINEGARA,BIDARA CINA,"RW 07, 11",2.0,9.0,333,1370,30 s/d 180 cm,"tgl. 19, 21 MEI",0.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0
1071,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,"RW 04, 05, 06, 07, 08",5.0,27.0,392,1214,10 s/d 180 cm,"tgl. 18, 19, 21 MEI",0.0,0.0,0.0,0.0,61.0,3.0,0.0,0.0
1072,Jakarta Timur,KRAMAT JATI,BALEKAMBANG,RW 05,1.0,3.0,0,0,40 s/d 100 cm,"tgl. 18, 19 MEI",0.0,0.0,0.0,0.0,128.0,2.0,0.0,0.0
1073,Jakarta Timur,KRAMAT JATI,BATU AMPAR,RW 02,1.0,1.0,0,0,10 cm,tgl. 10 MEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074,Jakarta Timur,KRAMAT JATI,CAWANG,"RW 01, 02, 03, 05, 08, 12",6.0,25.0,0,0,20 s/d 200 cm,"tgl. 19, 21 MEI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075,Jakarta Timur,KRAMAT JATI,CILILITAN,"RW 06, 07, 16",3.0,6.0,0,0,20 s/d 200 cm,"tgl. 19, 21 MEI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1076,Jakarta Timur,KRAMAT JATI,TENGAH,RW 09,1.0,1.0,0,0,20 cm,tgl. 10 MEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1077,Jakarta Timur,MATRAMAN,KEBON MANGGIS,RW 04,1.0,3.0,0,0,20 cm,tgl. 19 MEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1078,Jakarta Timur,PASAR REBO,PEKAYON,"RW 02, 07",2.0,1.0,0,0,10 s/d 100 cm,tgl. 06 MEI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1079,Jakarta Utara,PENJARINGAN,KAPUK MUARA,RW : 001,1.0,1.0,0,0,15 s/d 30 cm,"16, 18 November 2020",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1080,Jakarta Utara,PENJARINGAN,KAPUK MUARA,0,0.0,1.0,0,0,20 s/d 30 cm,2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081,Jakarta Utara,PENJARINGAN,KAPUK MUARA,0,0.0,1.0,0,0,20 s/d 30 cm,2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1082,Jakarta Utara,PENJARINGAN,KAPUK MUARA,0,0.0,1.0,0,0,10 cm,2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1083,Jakarta Utara,PENJARINGAN,PENJARINGAN,RW : 017,1.0,1.0,0,0,20 cm,2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1084,Jakarta Utara,PENJARINGAN,PENJARINGAN,0,0.0,1.0,0,0,30 s/d 40 cm,2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1085,Jakarta Utara,PENJARINGAN,PENJARINGAN,RW : 07,1.0,1.0,0,0,10 cm,2020-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1086,Jakarta Utara,PENJARINGAN,PLUIT,RW : 022,1.0,1.0,0,0,10 s/d 15 cm,2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1087,Jakarta Utara,PENJARINGAN,PLUIT,0,0.0,1.0,0,0,10 s/d 15 cm,2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1088,Jakarta Utara,PENJARINGAN,PLUIT,0,0.0,1.0,0,0,10 s/d 15 cm,2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1089,Jakarta Utara,PENJARINGAN,PLUIT,0,0.0,1.0,0,0,10 s/d 15 cm,2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1090,Jakarta Utara,PENJARINGAN,PLUIT,0,0.0,1.0,0,0,10 s/d 15 cm,2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1091,Jakarta Utara,PENJARINGAN,PLUIT,0,0.0,1.0,0,0,10 s/d 15 cm,2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1092,Jakarta Utara,PENJARINGAN,PLUIT,0,0.0,1.0,0,0,10 s/d 15 cm,2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1093,Jakarta Utara,CILINCING,ROROTAN,RW : 06,1.0,1.0,0,0,10 s/d 15 cm,01 Novemb er 2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1094,Jakarta Utara,CILINCING,MARUNDA,RW : 07,1.0,1.0,0,0,15 cm,"17, 18 November 2020",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1095,Jakarta Utara,CILINCING,MARUNDA,0,0.0,1.0,0,0,15 cm,"17, 18 November 2020",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1096,Jakarta Utara,CILINCING,MARUNDA,0,0.0,1.0,0,0,15 cm,2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1097,Jakarta Utara,PADEMANGAN,ANCOL,RW : 08,1.0,1.0,0,0,20 cm,2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1098,Jakarta Utara,PADEMANGAN,ANCOL,0,0.0,1.0,0,0,20 cm,2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1099,Jakarta Utara,PADEMANGAN,ANCOL,0,0.0,1.0,0,0,10 cm,2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,Jakarta Barat,KALIDERES,TEGAL ALUR,RW : 001,1.0,1.0,0,0,10 s/d 60 cm,"16, 17, 18 November 2020",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1101,Jakarta Barat,KALIDERES,TEGAL ALUR,RW : 009,1.0,1.0,0,0,10 s/d 60 cm,2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1102,Jakarta Barat,KALIDERES,TEGAL ALUR,0,0.0,1.0,0,0,30 s/d 60 cm,"16, 17 November 2020",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1103,Jakarta Barat,KALIDERES,TEGAL ALUR,0,0.0,1.0,0,0,30 s/d 60 cm,"16, 17, 18 November 2020",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1104,Jakarta Barat,CENGKARENG,KAPUK,RW : 05,1.0,1.0,0,0,10 cm,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1105,Jakarta Barat,CENGKARENG,KAPUK,RW : 08,1.0,1.0,0,0,10 cm,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1106,Jakarta Barat,CENGKARENG,KAPUK,RW : 010,1.0,1.0,0,0,10 cm,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1107,Jakarta Barat,CENGKARENG,KAPUK,0,0.0,1.0,0,0,10 cm,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
